id,英文名稱,課程名稱,作業名稱,作業類型,繳交人數,通過人數,通過率
17,jianzhu-zixun-jianmo,工程資訊管理 BIM 基礎,同伴互評 1: 切剖模型,phased peer,159,119,0.75
17,jianzhu-zixun-jianmo,工程資訊管理 BIM 基礎,同伴互評 2: 製作剖面圖,phased peer,154,114,0.74
17,jianzhu-zixun-jianmo,工程資訊管理 BIM 基礎,模型元件發展程度-LOD,exam,413,171,0.41
17,jianzhu-zixun-jianmo,工程資訊管理 BIM 基礎,同伴互評 1: 瀏覽明細表,phased peer,143,111,0.78
17,jianzhu-zixun-jianmo,工程資訊管理 BIM 基礎,同伴互評 2:註解工程圖,phased peer,144,114,0.79
17,jianzhu-zixun-jianmo,工程資訊管理 BIM 基礎,認識BIM應用工具,exam,327,161,0.49
18,bim-sumo,工程資訊管理 BIM 塑模,地形、土方開挖,phased peer,128,106,0.83
18,bim-sumo,工程資訊管理 BIM 塑模,地界線,phased peer,130,105,0.81
18,bim-sumo,工程資訊管理 BIM 塑模,工程水平垂直放樣,exam,459,141,0.31
18,bim-sumo,工程資訊管理 BIM 塑模,樓層放樣定位,phased peer,134,105,0.78
18,bim-sumo,工程資訊管理 BIM 塑模,水平放樣定位,phased peer,134,113,0.84
18,bim-sumo,工程資訊管理 BIM 塑模,B1F建築模型建置,exam,278,110,0.40
18,bim-sumo,工程資訊管理 BIM 塑模,建立 B1F 柱與牆,phased peer,98,86,0.88
18,bim-sumo,工程資訊管理 BIM 塑模,建立 B1F 門與窗,phased peer,98,82,0.84
18,bim-sumo,工程資訊管理 BIM 塑模,建立筏基板、回填級配、B1F樓板,phased peer,101,86,0.85
18,bim-sumo,工程資訊管理 BIM 塑模,建立筏基板與地樑,phased peer,103,87,0.84
18,bim-sumo,工程資訊管理 BIM 塑模,1F建築模型建置,exam,212,90,0.42
18,bim-sumo,工程資訊管理 BIM 塑模,建立 1F 大樑、小樑與板,phased peer,78,71,0.91
18,bim-sumo,工程資訊管理 BIM 塑模,建立 1F 柱、RC 牆、磚牆,phased peer,77,72,0.94
18,bim-sumo,工程資訊管理 BIM 塑模,建立 B1F 室內樓梯,phased peer,85,73,0.86
18,bim-sumo,工程資訊管理 BIM 塑模,建立 B1F 室外樓梯,phased peer,89,76,0.85
18,bim-sumo,工程資訊管理 BIM 塑模,接合 B1F 與 1F 結構體元件,phased peer,78,74,0.95
18,bim-sumo,工程資訊管理 BIM 塑模,修改車道地形,phased peer,67,62,0.93
18,bim-sumo,工程資訊管理 BIM 塑模,建立 1F 排氣墩,phased peer,71,65,0.92
18,bim-sumo,工程資訊管理 BIM 塑模,建立 1F 門窗、樓梯,phased peer,73,64,0.88
18,bim-sumo,工程資訊管理 BIM 塑模,建立 2F 屋簷板,phased peer,71,65,0.92
18,bim-sumo,工程資訊管理 BIM 塑模,建立 2F 樑與板、接合元件,phased peer,70,62,0.89
18,bim-sumo,工程資訊管理 BIM 塑模,建立地面排水溝、陰井,phased peer,67,62,0.93
18,bim-sumo,工程資訊管理 BIM 塑模,建立車道,phased peer,68,63,0.93
18,bim-sumo,工程資訊管理 BIM 塑模,建築周邊模型建置,exam,182,76,0.42
19,bim-yingyong,工程資訊管理 BIM 應用,BIM導入指引,exam,196,74,0.38
19,bim-yingyong,工程資訊管理 BIM 應用,BIM與建築物生命週期,exam,116,73,0.63
19,bim-yingyong,工程資訊管理 BIM 應用,BIM與綠建築,exam,116,71,0.61
19,bim-yingyong,工程資訊管理 BIM 應用,BIM與工程數量估算,exam,168,69,0.41
19,bim-yingyong,工程資訊管理 BIM 應用,案例：彙整明細表,phased peer,63,56,0.89
19,bim-yingyong,工程資訊管理 BIM 應用,案例：新增明細表,phased peer,64,55,0.86
19,bim-yingyong,工程資訊管理 BIM 應用,案例：樓梯體積計算,phased peer,63,55,0.87
19,bim-yingyong,工程資訊管理 BIM 應用,案例：設定明細表,phased peer,63,53,0.84
19,bim-yingyong,工程資訊管理 BIM 應用,BIM與4D模擬,exam,152,60,0.39
19,bim-yingyong,工程資訊管理 BIM 應用,案例：Revit預埋參數,phased peer,54,46,0.85
19,bim-yingyong,工程資訊管理 BIM 應用,案例：創建項目集,phased peer,51,46,0.90
19,bim-yingyong,工程資訊管理 BIM 應用,案例：對應模型元件與工項,phased peer,50,46,0.92
19,bim-yingyong,工程資訊管理 BIM 應用,案例：排程與連結模型,phased peer,53,45,0.85
19,bim-yingyong,工程資訊管理 BIM 應用,案例：覆疊文字,phased peer,50,45,0.90
19,bim-yingyong,工程資訊管理 BIM 應用,案例：階段外觀定義,phased peer,52,46,0.88
20,mencius1,東亞儒學：孟子一 (East Asian Confucianisms: Mencius 1),第一週作業,exam,4,4,1.00
20,mencius1,東亞儒學：孟子一 (East Asian Confucianisms: Mencius 1),第二週作業,exam,0,0,None
20,mencius1,東亞儒學：孟子一 (East Asian Confucianisms: Mencius 1),第二週作業：簡答題,phased peer,0,0,None
20,mencius1,東亞儒學：孟子一 (East Asian Confucianisms: Mencius 1),第三週作業：申論題,phased peer,0,0,None
20,mencius1,東亞儒學：孟子一 (East Asian Confucianisms: Mencius 1),第四週作業,exam,0,0,None
20,mencius1,東亞儒學：孟子一 (East Asian Confucianisms: Mencius 1),第五週作業,exam,0,0,None
20,mencius1,東亞儒學：孟子一 (East Asian Confucianisms: Mencius 1),第五週作業：簡答題,phased peer,0,0,None
20,mencius1,東亞儒學：孟子一 (East Asian Confucianisms: Mencius 1),第六週作業：申論題,phased peer,0,0,None
20,mencius1,東亞儒學：孟子一 (East Asian Confucianisms: Mencius 1),第七週作業：簡答題,phased peer,0,0,None
21,mencius2,東亞儒學：孟子二 (East Asian Confucianisms: Mencius 2),作業一,phased peer,30,17,0.57
21,mencius2,東亞儒學：孟子二 (East Asian Confucianisms: Mencius 2),作業二,phased peer,23,13,0.57
21,mencius2,東亞儒學：孟子二 (East Asian Confucianisms: Mencius 2),作業三,phased peer,17,8,0.47
22,east-asian-confucianisms-humanism1,東亞儒家:人文精神一 (East Asian Confucianisms: Humanism 1),自我評估,phased peer,65,46,0.71
22,east-asian-confucianisms-humanism1,東亞儒家:人文精神一 (East Asian Confucianisms: Humanism 1),關鍵概念描述,phased peer,38,32,0.84
22,east-asian-confucianisms-humanism1,東亞儒家:人文精神一 (East Asian Confucianisms: Humanism 1),「自我」與「自然」,phased peer,30,24,0.80
22,east-asian-confucianisms-humanism1,東亞儒家:人文精神一 (East Asian Confucianisms: Humanism 1),請完成以下單選題,exam,57,55,0.96
22,east-asian-confucianisms-humanism1,東亞儒家:人文精神一 (East Asian Confucianisms: Humanism 1),身分與理分的自我評估,phased peer,32,25,0.78
22,east-asian-confucianisms-humanism1,東亞儒家:人文精神一 (East Asian Confucianisms: Humanism 1),請完成以下選擇題,exam,37,31,0.84
22,east-asian-confucianisms-humanism1,東亞儒家:人文精神一 (East Asian Confucianisms: Humanism 1),生死觀與道德兩難,phased peer,23,19,0.83
23,east-asian-confucianisms-humanism2,東亞儒家:人文精神二(East Asian Confucianisms: Humanism 2),您認為老子如果生在21世紀，他對當前國際政治有何評論？為什麼？,phased peer,3,0,0.00
